"ano_da_compra","tipo_da_compra","número_da_uasg","número_ano_da_compra","número_do_item","grupo_do_item","objeto_da_compra","uf_da_uasg","regime_de_execução","critério_de_julgamento","data_hora_da_primeira_publicação","data_hora_realização_do_certame_fim_proposta","data_hora_de_homologação_da_compra","data_hora_de_homologação_do_item","tipo_do_item","nome_do_item","unidade_de_fornecimento_do_item","quantidade_do_item","orçamento_estimado_do_item","tipo_de_benefício_do_item","valor_adjudicado","melhor_lance","valor_final_negociado","quantidade_de_participantes_do_item","situação_da_compra","situação_do_item","identificação_do_fornecedor_vencedor_(adjudicado)","uasg","compra","ano","codcompra","valorhomologado","mododisputa","disputaaberto","codigoitemcatalogo","link","percentual_valor_final"
"2013","RDC","153030","13/2013","1","","Objeto: Contratação de empresa de engenharia com fornecimento de material e mão de obra para reforma das salas do ICE-CONJUNTO C BLOCO 1 - UNIFEI.","MG","Empreitada por Preço Global","Menor Preço","2014-01-22 05:07:54","2014-02-12 10:03:54","2014-02-24 09:24:34","2014-02-24 09:24:34","Serviço","Obras Civis Públicas ( Construção )","SERVIÇO","1","666932.18","Sem benefícios","665000.0","729000.0","665000.0","5","Homologada","Homologado","65280604000184 - 3E INDUSTRIA E COMERCIO LTDA - EPP(Pessoa Jurídica)","153030","00013","2013","15303099000132013","665000.0","Aberto","True","4545","https://compras.dados.gov.br/licitacoes/doc/rdc/15303099000132013","99.71028838344552"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
"2013","RDC","153033","4/2013","1","","Objeto: Contratação de pessoa jurídica especializada para executar os serviços de Construção do Bloco de Laboratórios das Engenharias no  Campus da UFERSA em Pau dos Ferros/RN.","RN","Empreitada por Preço Unitário","Menor Preço","2013-09-25 05:12:36","2013-10-22 09:03:56","2013-11-01 17:02:21","2013-11-01 17:02:21","Serviço","OBRAS CIVIS DE EDIFICAÇÕES PREDIAIS","unidade","1","2133756.56","Sem benefícios","1899000.0","1899000.0","","5","Homologada","Homologado","05806903000188 - POLY CONSTRUCOES & EMPREENDIMENTOS EIRELI(Pessoa Jurídica)","153033","00004","2013","15303399000042013","1899000.0","Fechado/Aberto","True","1937","https://compras.dados.gov.br/licitacoes/doc/rdc/15303399000042013","88.99796891544179"
