"codcompra","mododisputa","disputaaberto","aditivos","vigencia_inicio","vigencia_fim","anos","valor_inicial","valor_global","diferenca_valor","percentual_diferenca_valor"
"15441999000052013","Aberto","True","17","2014-02-05","2021-03-31","7.0","4400000.0","4400000.0","0.0","0.0"
"15809299000042014","Aberto","True","1","2016-04-19","2021-10-11","5.0","6468407.43","6468407.43","0.0","0.0"
"15813699000022014","Fechado/Aberto","True","7","2015-02-12","2022-03-30","7.0","27586169.56","27586169.56","0.0","0.0"
"39300999002742014","Aberto","True","3","2017-06-01","2024-05-18","7.0","24200000.0","11427702.37","-12772297.63","-52.77808938016529"
"39301399002252014","Aberto","True","4","2014-07-04","2023-05-12","9.0","15366612.9","15366612.9","0.0","0.0"
"39301399002382014","Aberto","True","4","2014-12-08","2025-05-20","11.0","8600000.0","8600000.0","0.0","0.0"
"39302199000342014","Aberto","True","3","2014-10-31","2022-12-31","8.0","28698011.0","28698011.0","0.0","0.0"
"39302399003812014","Aberto","True","4","2014-10-20","2022-10-13","8.0","14143516.76","14143516.76","0.0","0.0"
"39303099000902014","Aberto","True","4","2014-06-11","2024-03-30","10.0","168750000.0","208183929.46","39433929.46","23.368254494814813"
"15404299000012015","Aberto","True","11","2016-02-04","2022-06-30","6.0","14061000.0","18876450.81","4815450.81","34.24685875826754"
"15815799000012015","Aberto","True","3","2015-10-29","2023-03-03","8.0","14829645.8","14829645.8","0.0","0.0"
"15829099000012015","Aberto/Fechado","True","5","2016-03-21","2021-03-18","5.0","7198710.15","0.0","-7198710.15","-100.0"
"39300999001182015","Aberto","True","9","2015-11-16","2023-08-12","8.0","171000000.0","298873336.81","127873336.81","74.77972912865496"
"39300999001482015","Aberto","True","9","2015-11-12","2023-06-29","8.0","181154100.0","181154100.0","0.0","0.0"
"39300999002452015","Aberto","True","9","2016-10-19","2020-11-02","4.0","2641800.0","3801930.19","1160130.19","43.9143837535014"
"39300999002452015","Aberto","True","9","2016-10-19","2020-09-07","4.0","2840000.0","2840000.0","0.0","0.0"
"39300999002452015","Aberto","True","9","2016-11-29","2022-08-29","6.0","3166516.06","5475095.75","2308579.69","72.90598393491173"
"39300999002632015","Aberto","True","9","2016-01-04","2022-06-12","6.0","4919850.0","4919850.0","0.0","0.0"
"39300999004332015","Aberto","True","3","2017-02-01","2024-05-19","7.0","24200000.0","24200000.0","0.0","0.0"
"39301199005632015","Aberto","True","6","2016-07-04","2021-12-05","5.0","149795000.0","149795000.0","0.0","0.0"
"39302699000072015","Aberto","True","6","2016-01-25","2021-01-24","5.0","12453782.88","10793514.25","-1660268.63","-13.331440302097189"
"39302699000142015","Aberto","True","6","2016-07-29","2022-04-27","6.0","59942342.09","63762406.5","3820064.41","6.3728981497993376"
"39303099003992015","Aberto","True","4","2016-12-29","2022-04-17","6.0","88500000.0","96872285.57","8372285.57","9.460209683615819"
"39500199000022015","Aberto","True","2","2015-12-10","2023-12-25","8.0","4114044.37","4170733.67","56689.3","1.3779457609495835"
"39500199000042015","Aberto","True","2","2015-12-10","2023-12-05","8.0","3830299.35","3238069.07","-592230.28","-15.46172311571418"
"53001399000022015","Aberto","True","5","2015-12-29","2023-12-21","8.0","1130300000.0","1171439021.26","41139021.26","3.639655070335309"
"15421599000032016","Aberto","True","13","2016-12-02","2023-09-30","7.0","172000000.0","211078400.0","39078400.0","22.72"
"19300299000012016","Aberto","True","5","2017-05-25","2022-08-25","5.0","23628478.16","23628478.16","0.0","0.0"
"39301399003092016","Aberto","True","4","2017-08-22","2023-09-10","6.0","158500000.0","158500000.0","0.0","0.0"
"39302099001522016","Aberto","True","4","2017-03-15","2024-03-25","7.0","6938517.81","23163417.56","16224899.75","233.83812212193487"
"39302099002372016","Aberto","True","4","2020-07-31","2023-12-24","3.0","6178801.24","6178801.24","0.0","0.0"
"39302099002372016","Aberto","True","4","2017-09-27","2024-06-22","7.0","7221776.62","7221776.62","0.0","0.0"
"15306199000072017","Fechado","False","2","2019-02-04","2023-06-14","4.0","7036745.47","7667137.32","630391.85","8.958571156048935"
"15316399000092017","Fechado","False","5","2018-01-29","2021-03-15","3.0","3290343.8","2931006.82","-359336.98","-10.920955433289373"
"15403999000062017","Fechado","False","8","2018-12-18","2023-11-16","5.0","5841996.93","10753679.27","4911682.34","84.07540090918877"
"15450399000032017","Aberto","True","12","2018-02-05","2021-12-01","3.0","475453.34","560130.63","84677.29","17.80980022140553"
"15500999000042017","Aberto","True","6","2019-08-26","2021-06-19","2.0","15628339.35","16955313.3","1326973.95","8.49081863582646"
"39007099004362017","Aberto","True","9","2018-06-20","2023-10-05","5.0","31636481.75","38252295.51","6615813.76","20.91197691412067"
"39301099003002017","Aberto","True","1","2017-10-03","2023-09-04","6.0","149999999.0","149999999.0","0.0","0.0"
"39301199003392017","Fechado/Aberto","True","6","2018-03-27","2022-02-22","4.0","112592671.66","267479.46","-112325192.2","-99.76243617274869"
"39301199003392017","Fechado/Aberto","True","6","2018-10-25","2023-06-07","5.0","136685635.46","136685635.46","0.0","0.0"
"39301199004102017","Fechado/Aberto","True","6","2018-01-08","2021-05-10","3.0","43466564.01","43466564.01","0.0","0.0"
"39301699001482017","Aberto","True","4","2017-12-26","2021-12-18","4.0","85000000.0","85000000.0","0.0","0.0"
"39302099001272017","Aberto","True","4","2017-10-10","2021-07-30","4.0","15689000.0","15689000.0","0.0","0.0"
"39302099002162017","Aberto","True","4","2017-10-25","2023-10-23","6.0","77899997.66","86452062.95","8552065.29","10.978261292543406"
"39302399001932017","Aberto","True","4","2019-11-18","2023-12-18","4.0","4336274.96","5046274.03","709999.07","16.373479000971837"
"39302999002582017","Aberto","True","6","2017-11-16","2021-08-20","4.0","882128.16","827083.36","-55044.8","-6.24000031922799"
"15306199000032018","Fechado","False","2","2020-02-05","2023-06-30","3.0","1986616.8","2113358.2","126741.4","6.379760807418925"
